#星座																										
#绝对ID=孔位 + 星座*100 + 角色编号*10000	人物ID	人物名称	星座编号	星座名称	孔位(为空则表示该星座全部增加的属性，方便计算)	力量增长	体质增长	敏捷增长	智力增长	专注增长	生命增长	生命回复增长	魔法增长	物攻增长	物防增长	魔攻增长	魔防增长	命中增长	闪避增长	暴击增长	暴击抵抗增长	暴击伤害增长	物理穿透增长	魔法穿透增长	魔法恢复量	增长属性中文叙述
int	int	string	int	int	int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	string
61001	6	草薙京	10		1			50								127.8	63.9									敏捷+50 魔攻+127.8 魔防+63.9
61002	6	草薙京	10		2	97			74	76																力量+97 智力+74 专注+76
61003	6	草薙京	10		3					78									97.2		164.16					专注+78 闪避+97.2 暴抗+164.16
61004	6	草薙京	10		4		61		78														6			体质+61 智力+78 物穿+6
61005	6	草薙京	10		5	100	64			83																力量+100 体质+64 专注+83
61006	6	草薙京	10		6	105		55			1188	118.8														力量+105 敏捷+55 生命+1188 生命回复+118.8
61000	6	草薙京	10			302	125	105	152	237	1188	118.8	0	0	0	127.8	63.9	0	97.2	0	164.16	0	6			
61101	6	草薙京	11		1			58		86						145.8	72.9									敏捷+58 专注+86 魔攻+145.8 魔防+72.9
61102	6	草薙京	11		2		69			92														6		体质+69 专注+92 魔穿+6
61103	6	草薙京	11		3	109		61	85																	力量+109 敏捷+61 智力+85
61104	6	草薙京	11		4	115													113.4		191.52					力量+115 闪避+113.4 暴抗+191.52
61105	6	草薙京	11		5				89		1278	127.8														智力+89 生命+1278 生命回复+127.8
61106	6	草薙京	11		6	122	78			95																力量+122 体质+78 专注+95
61100	6	草薙京	11			346	147	119	174	273	1278	127.8	0	0	0	145.8	72.9	0	113.4	0	191.52	0	0			
61201	6	草薙京	12		1			69		106																敏捷+69 专注+106
61202	6	草薙京	12		2		86			114													7			体质+86 专注+114 物穿+7
61203	6	草薙京	12		3	134		74	93																	力量+134 敏捷+74 智力+93
61204	6	草薙京	12		4	145	92		108																	力量+145 体质+92 智力+108
61205	6	草薙京	12		5					121									151.2		255.36					专注+121 闪避+151.2 暴抗+255.36
61206	6	草薙京	12		6	153			117		1710	171														力量+153 智力+117 生命+1710 生命回复+171
61200	6	草薙京	12			432	178	143	318	341	1710	171	0	0	0	0	0	0	151.2	0	255.36	0	7			
70101	7	黑岩	1		1	4		2		2																力量+4 敏捷+2 专注+2
70102	7	黑岩	1		2		4									12.6	6.3									体质+4 魔攻+12.6 魔防+6.3
70103	7	黑岩	1		3	6		3		3																力量+6 敏捷+3 专注+3
70104	7	黑岩	1		4		4			3																体质+4 专注+3
70105	7	黑岩	1		5	8	6	4																		力量+8 体质+6 敏捷+4
70106	7	黑岩	1		6	10													10.8		18.24					力量+10 闪避+10.8 暴抗+18.24
70100	7	黑岩	1			28	14	9		8						12.6	6.3		10.8		18.24					
70201	7	黑岩	2		1		7		6														3			体质+7 智力+6 物穿+3
70202	7	黑岩	2		2	11		9		4																力量+11 敏捷+9 专注+4
70203	7	黑岩	2		3					6									18		30.4					专注+6 闪避+18 暴抗+30.4
70204	7	黑岩	2		4	14	8			7																力量+14 体质+8 专注+7
70205	7	黑岩	2		5	16		12	7																	力量+16 敏捷+12 智力+7
70206	7	黑岩	2		6	20				8	216	21.6														力量+20 专注+8 生命+216 生命回复+21.6
70200	7	黑岩	2			61	15	21	13	25	216	21.6							18		30.4		3			
70301	7	黑岩	3		1			12								14.4	7.2									敏捷+12 魔攻+14.4 魔防+7.2
70302	7	黑岩	3		2	25	15																			力量+25 体质+15
70303	7	黑岩	3		3			13		11																敏捷+13 专注+11
70304	7	黑岩	3		4		18		10	16																体质+18 智力+10 专注+16
70305	7	黑岩	3		5	28		14																		力量+28 敏捷+14
70306	7	黑岩	3		6			16		19				66.6	33.3											敏捷+16 专注+19 物攻+66.6 物防+33.3
70300	7	黑岩	3			53	33	55	10	46				66.6	33.3	14.4	7.2									
70401	7	黑岩	4		1		18		12																	体质+18 智力+12
70402	7	黑岩	4		2	42				24																力量+42 专注+24
70403	7	黑岩	4		3			25			360	36														敏捷+25 生命+360 生命回复+36
70404	7	黑岩	4		4	43			14																	力量+43 智力+14
70405	7	黑岩	4		5		25	26																		体质+25 敏捷+26
70406	7	黑岩	4		6	45				26													6			力量+45 专注+26 物穿+6
70400	7	黑岩	4			130	43	51	26	50	360	36											6			
70501	7	黑岩	5		1		33		16																	体质+33 智力+16
70502	7	黑岩	5		2	49		26																		力量+49 敏捷+26
70503	7	黑岩	5		3			26		20																敏捷+26 专注+20
70504	7	黑岩	5		4		35									32.4	16.2									体质+35 魔攻+32.4 魔防+16.2
70505	7	黑岩	5		5	51				20									50.4		85.12					力量+51 专注+20 闪避+50.4 暴抗+85.12
70506	7	黑岩	5		6	53				22																力量+53 专注+22
70500	7	黑岩	5			153	68	52	16	62						32.4	16.2		50.4		85.12					
70601	7	黑岩	6		1			30		23													9			敏捷+30 专注+23 物穿+9
70602	7	黑岩	6		2	58	29																			力量+58 体质+29
70603	7	黑岩	6		3				20		612	61.2														智力+20 生命+612 生命回复+61.2
70604	7	黑岩	6		4	61		31		25																力量+61 敏捷+31 专注+25
70605	7	黑岩	6		5				21										61.2		103.36					智力+21 闪避+61.2 暴抗+103.36
70606	7	黑岩	6		6	65	39											97.2		82.08						力量+65 体质+39 命中+97.2 暴击+82.08
70600	7	黑岩	6			184	68	61	41	48	612	61.2						97.2	61.2	82.08	103.36		9			
70701	7	黑岩	7		1		47			28																体质+47 专注+28
70702	7	黑岩	7		2			36								41.4	20.7									敏捷+36 魔攻+41.4 魔防+20.7
70703	7	黑岩	7		3	70		37																		力量+70 敏捷+37
70704	7	黑岩	7		4		48											104.4		88.16						体质+48 命中+104.4 暴击+88.16
70705	7	黑岩	7		5	71		41																		力量+71 敏捷+41
70706	7	黑岩	7		6	74			24	30																力量+74 智力+24 专注+30
70700	7	黑岩	7			215	95	114	24	58						41.4	20.7	104.4		88.16						
70801	7	黑岩	8		1	72		43		30																力量+72 敏捷+43 专注+30
70802	7	黑岩	8		2		39		21	31																体质+39 智力+21 专注+31
70803	7	黑岩	8		3		41							135	67.5											体质+41 物攻+135 物防+67.5
70804	7	黑岩	8		4			44		31						45	22.5									敏捷+44 专注+31 魔攻+45 魔防+22.5
70805	7	黑岩	8		5	78	45			33																力量+78 体质+45 专注+33
70806	7	黑岩	8		6	82		45	22														12			力量+82 敏捷+45 智力+22 物穿+12
70800	7	黑岩	8			232	125	132	43	125				135	67.5	45	22.5						12			
70901	7	黑岩	9		1		52			30								72		60.8						体质+52 命中+72 暴击+60.8
70902	7	黑岩	9		2	87		46																		力量+87 敏捷+46
70903	7	黑岩	9		3		54	47								90	45									体质+54 敏捷+47 魔攻+90 魔防+45
70904	7	黑岩	9		4	89			23	47																力量+89 智力+23 专注+47
70905	7	黑岩	9		5	93		48											36		60.8					力量+93 闪避+36 暴抗+60.8
70906	7	黑岩	9		6	100	58	51		53																力量+100 体质+58 敏捷+51 专注+53
70900	7	黑岩	9			369	164	192	23	130						90	45	72	36	60.8	60.8		0			
71001	7	黑岩	10		1			51	24	58																敏捷+51 智力+24 专注+58
71002	7	黑岩	10		2	101		53		58																力量+101 敏捷+53 专注+58
71003	7	黑岩	10		3		56		26					185.4	92.7											体质+56 智力+26 物攻+185.4 物防+92.7
71004	7	黑岩	10		4	109		61								52.2	26.1									力量+109 敏捷+61 魔攻+52.2 魔防+26.1
71005	7	黑岩	10		5	116	59			59													15			力量+116 体质+59 专注+59 物穿+15
71006	7	黑岩	10		6		61	66	31																	体质+61 敏捷+66 智力+31
71000	7	黑岩	10			326	176	231	81	175				185.4	92.7	52.2	26.1						15			
71101	7	黑岩	11		1	162		76																		力量+162 敏捷+76
71102	7	黑岩	11		2		62		35	48																体质+62 智力+35 专注+48
71103	7	黑岩	11		3	163					1170	117														力量+163 生命+1170 生命回复+117
71104	7	黑岩	11		4			79	36	49																敏捷+79 智力+36 专注+49
71105	7	黑岩	11		5					50	1224	122.4														专注+50 生命+1224 生命回复+122.4
71106	7	黑岩	11		6	172		81	38	53																力量+172 敏捷+81 智力+38 专注+53
71100	7	黑岩	11			497	62	236	109	200	2394	239.4											0			
71201	7	黑岩	12		1		71		43	59																体质+71 智力+43 专注+59
71202	7	黑岩	12		2	203		82															18			力量+203 敏捷+82 物穿+18
71203	7	黑岩	12		3		74			60						82.8	41.4									体质+74 专注+60 魔攻+82.8 魔防+41.4
71204	7	黑岩	12		4			84			1368	136.8														敏捷+84 生命+1368 生命回复+136.8
71205	7	黑岩	12		5	204		85	48	64																力量+204 敏捷+85 智力+48 专注+64
71206	7	黑岩	12		6	205	83	88		66																力量+205 体质+83 敏捷+88 专注+66
71200	7	黑岩	12			612	228	339	91	249	1368	136.8				82.8	41.4						18			
80101	8	绿巨人	1		1	7	5																			力量+7 体质+5
80102	8	绿巨人	1		2				2	3																智力+2 专注+3
80103	8	绿巨人	1		3				3					14.4	7.2											智力+3 物攻+14.4 物防+7.2
80104	8	绿巨人	1		4		7			4																体质+7 专注+4
80105	8	绿巨人	1		5	11										10.8	5.4									力量+11 魔攻+10.8 魔防+5.4
80106	8	绿巨人	1		6		10	4		6																体质+10 敏捷+4 专注+6
80100	8	绿巨人	1			18	22	4	5	13	0	0	0	14.4	7.2	10.8	5.4	0	0	0	0	0	0			
80201	8	绿巨人	2		1	15				7																力量+15 专注+7
80202	8	绿巨人	2		2			4								10.8	5.4									敏捷+4 魔攻+10.8 魔防+5.4
80203	8	绿巨人	2		3		11			9																体质+11 专注+9
80204	8	绿巨人	2		4	17	15		7																	力量+17 体质+15 智力+7
80205	8	绿巨人	2		5	20		6		13																力量+20 敏捷+6 专注+13
80206	8	绿巨人	2		6				9		342	34.2														智力+9 生命+342 生命回复+34.2
80200	8	绿巨人	2			52	26	10	16	29	342	34.2	0	0	0	10.8	5.4	0	0	0	0	0	0			
80301	8	绿巨人	3		1				10										10.8		18.24					智力+10 闪避+10.8 暴抗+18.24
80302	8	绿巨人	3		2	21	21																			力量+21 体质+21
80303	8	绿巨人	3		3				12	14																智力+12 专注+14
80304	8	绿巨人	3		4		22	7		14																体质+22 敏捷+7 专注+14
80305	8	绿巨人	3		5					16				46.8	23.4											专注+16 物攻+46.8 物防+23.4
80306	8	绿巨人	3		6	31	25		12																	力量+31 体质+25 智力+12
80300	8	绿巨人	3			52	68	7	34	44	0	0	0	46.8	23.4	0	0	0	10.8	0	18.24	0	0			
80401	8	绿巨人	4		1					17						25.2	12.6									专注+17 魔攻+25.2 魔防+12.6
80402	8	绿巨人	4		2	33		8		19																力量+33 敏捷+8 专注+19
80403	8	绿巨人	4		3		27		15																	体质+27 智力+15
80404	8	绿巨人	4		4		30	10	16																	体质+30 敏捷+10 智力+16
80405	8	绿巨人	4		5	34					612	61.2														力量+34 生命+612 生命回复+61.2
80406	8	绿巨人	4		6	37												82.8		69.92						力量+37 命中+82.8 暴击+69.92
80400	8	绿巨人	4			104	57	18	31	36	612	61.2	0	0	0	25.2	12.6	82.8	0	69.92	0	0	0			
80501	8	绿巨人	5		1		35		16	23																体质+35 智力+16 专注+23
80502	8	绿巨人	5		2	41													19.8		33.44					力量+41 闪避+19.8 暴抗+33.44
80503	8	绿巨人	5		3				18	24																智力+18 专注+24
80504	8	绿巨人	5		4	43	37	12																		力量+43 体质+37 敏捷+12
80505	8	绿巨人	5		5		41		21																	体质+41 智力+21
80506	8	绿巨人	5		6					27				82.8	41.4											专注+27 物攻+82.8 物防+41.4
80500	8	绿巨人	5			84	113	12	55	74	0	0	0	82.8	41.4	0	0	0	19.8	0	33.44	0	0			
80601	8	绿巨人	6		1			13			792	79.2														敏捷+13 生命+792 生命回复+79.2
80602	8	绿巨人	6		2	49			22																	力量+49 智力+22
80603	8	绿巨人	6		3				23	27																智力+23 专注+27
80604	8	绿巨人	6		4	52	45			29																力量+52 体质+45 专注+29
80605	8	绿巨人	6		5	56													28.8		48.64					力量+56 闪避+28.8 暴抗+48.64
80606	8	绿巨人	6		6		47		23	32																体质+47 智力+23 专注+32
80600	8	绿巨人	6			157	92	13	68	88	792	79.2	0	0	0	0	0	0	28.8	0	48.64	0	0			
80701	8	绿巨人	7		1		49									43.2	21.6									体质+49 魔攻+43.2 魔防+21.6
80702	8	绿巨人	7		2	57			26	33																力量+57 智力+26 专注+33
80703	8	绿巨人	7		3		53	17																		体质+53 敏捷+17
80704	8	绿巨人	7		4	61				34																力量+61 专注+34
80705	8	绿巨人	7		5		57		30									129.6		109.44						体质+57 智力+30 命中+129.6 暴击+109.44
80706	8	绿巨人	7		6			18						117	58.5											敏捷+18 物攻+117 物防+58.5
80700	8	绿巨人	7			118	159	35	56	67	0	0	0	117	58.5	43.2	21.6	129.6	0	109.44	0	0	0			
80801	8	绿巨人	8		1	76		19										147.6		124.64						力量+76 敏捷+19 命中+147.6 暴击+124.64
80802	8	绿巨人	8		2				35		1170	117														智力+35 生命+1170 生命回复+117
80803	8	绿巨人	8		3		74							156.6	78.3											体质+74 物攻+156.6 物防+78.3
80804	8	绿巨人	8		4		88									66.6	33.3									体质+88 魔攻+66.6 魔防+33.3
80805	8	绿巨人	8		5	98												176.4		148.96						力量+98 命中+176.4 暴击+148.96
80806	8	绿巨人	8		6			24	42	57																敏捷+24 智力+42 专注+57
80800	8	绿巨人	8			174	162	43	77	57	1170	117	0	156.6	78.3	66.6	33.3	324	0	273.6	0	0	0			
80901	8	绿巨人	9		1					58									45		76					专注+58 闪避+45 暴抗+76
80902	8	绿巨人	9		2	99	89		44																	力量+99 体质+89 智力+44
80903	8	绿巨人	9		3						1638	163.8						212.4		179.36						生命+1638 生命回复+163.8 命中+212.4 暴击+179.36
80904	8	绿巨人	9		4			29	46																	敏捷+29 智力+46
80905	8	绿巨人	9		5	104										84.6	42.3									力量+104 魔攻+84.6 魔防+42.3
80906	8	绿巨人	9		6		93			61				199.8	99.9											体质+93 专注+61 物攻+199.8 物防+99.9
80900	8	绿巨人	9			203	182	29	90	119	1638	163.8	0	199.8	99.9	84.6	42.3	212.4	45	179.36	76	0	0			
81001	8	绿巨人	10		1		101		51	65																体质+101 智力+51 专注+65
81002	8	绿巨人	10		2	118				68									55.8		94.24					力量+118 专注+68 闪避+55.8 暴抗+94.24
81003	8	绿巨人	10		3						1908	190.8				95.4	47.7									生命+1908 生命回复+190.8 魔攻+95.4 魔防+47.7
81004	8	绿巨人	10		4									219.6	109.8			266.4		224.96						物攻+219.6 物防+109.8 命中+266.4 暴击+224.96
81005	8	绿巨人	10		5			32								99	49.5									敏捷+32 魔攻+99 魔防+49.5
81006	8	绿巨人	10		6	126					1998	199.8														力量+126 生命+1998 生命回复+199.8
81000	8	绿巨人	10			244	101	32	51	133	3906	390.6	0	219.6	109.8	194.4	97.2	266.4	55.8	224.96	94.24	0	0			
81101	8	绿巨人	11		1		118		56	75																体质+118 智力+56 专注+75
81102	8	绿巨人	11		2									241.2	120.6	109.8	54.9									物攻+241.2 物防+120.6 魔攻+109.8 魔防+54.9
81103	8	绿巨人	11		3			35	67		2178	217.8														敏捷+35 智力+67 生命+2178 生命回复+217.8
81104	8	绿巨人	11		4	140												280.8		237.12						力量+140 命中+280.8 暴击+237.12
81105	8	绿巨人	11		5		130							271.8	135.9											体质+130 物攻+271.8 物防+135.9
81106	8	绿巨人	11		6					83									66.6		112.48					专注+83 闪避+66.6 暴抗+112.48
81100	8	绿巨人	11			140	248	35	123	158	2178	217.8	0	513	256.5	109.8	54.9	280.8	66.6	237.12	112.48	0	0			
81201	8	绿巨人	12		1		141		71	88																体质+141 智力+71 专注+88
81202	8	绿巨人	12		2			41						291.6	145.8											敏捷+41 物攻+291.6 物防+145.8
81203	8	绿巨人	12		3				78									363.6		307.04						智力+78 命中+363.6 暴击+307.04
81204	8	绿巨人	12		4	174													90		152					力量+174 闪避+90 暴抗+152
81205	8	绿巨人	12		5						900	90				145.8	72.9									体质+100 生命+900 生命回复+90 魔攻+145.8 魔防+72.9
81206	8	绿巨人	12		6	187	166											406.8		343.52						力量+187 体质+166 命中+406.8 暴击+343.52
81200	8	绿巨人	12			361	307	41	149	88	900	90	0	291.6	145.8	145.8	72.9	770.4	90	650.56	152	0	0			
90101	9	死神萝莉	1		1			3	3	2																敏捷+3 智力+3 专注+2
90102	9	死神萝莉	1		2	3			5																	力量+3 智力+5
90103	9	死神萝莉	1		3					4									9		15.2					专注+4 闪避+9 暴抗+15.2
90104	9	死神萝莉	1		4		4									12.6	6.3									体质+4 魔攻+12.6 魔防+6.3
90105	9	死神萝莉	1		5	5		7		5																力量+5 敏捷+7 专注+5
90106	9	死神萝莉	1		6		6		9															2		体质+6 智力+9 魔穿+2
90100	9	死神萝莉	1			8	10	10	17	11	0	0	0	0	0	12.6	6.3	0	9	0	15.2	0	0			
90201	9	死神萝莉	2		1			9		6																敏捷+9 专注+6
90202	9	死神萝莉	2		2	6	7									19.8	9.9									力量+6 体质+7 魔攻+19.8 魔防+9.9
90203	9	死神萝莉	2		3		9			9																体质+9 专注+9
90204	9	死神萝莉	2		4			10	15																	敏捷+10 智力+15
90205	9	死神萝莉	2		5	6												43.2		36.48						力量+6 命中+43.2 暴击+36.48
90206	9	死神萝莉	2		6	7		13	20																	力量+7 敏捷+13 智力+20
90200	9	死神萝莉	2			19	16	32	35	15	0	0	0	0	0	19.8	9.9	43.2	0	36.48	0	0	0			
90301	9	死神萝莉	3		1		9		23	12																体质+9 智力+23 专注+12
90302	9	死神萝莉	3		2	8		14																2		力量+8 敏捷+14 魔穿+2
90303	9	死神萝莉	3		3				28										30.6		51.68					智力+28 闪避+30.6 暴抗+51.68
90304	9	死神萝莉	3		4	9	11			13																力量+9 体质+11 专注+13
90305	9	死神萝莉	3		5	11										61.2	30.6									力量+11 魔攻+61.2 魔防+30.6
90306	9	死神萝莉	3		6		14	20		16																体质+14 敏捷+20 专注+16
90300	9	死神萝莉	3			28	34	34	51	41	0	0	0	0	0	61.2	30.6	0	30.6	0	51.68	0	0			
90401	9	死神萝莉	4		1				36		288	28.8														智力+36 生命+288 生命回复+28.8
90402	9	死神萝莉	4		2			21		17																敏捷+21 专注+17
90403	9	死神萝莉	4		3	12			37																	力量+12 智力+37
90404	9	死神萝莉	4		4		17	22		18																体质+17 敏捷+22 专注+18
90405	9	死神萝莉	4		5				40									68.4		57.76						智力+40 命中+68.4 暴击+57.76
90406	9	死神萝莉	4		6	14	20	25																		力量+14 体质+20 敏捷+25
90400	9	死神萝莉	4			26	37	68	113	35	288	28.8	0	0	0	0	0	68.4	0	57.76	0	0	0			
90501	9	死神萝莉	5		1			26								77.4	38.7									敏捷+26 魔攻+77.4 魔防+38.7
90502	9	死神萝莉	5		2	15				20														2		力量+15 专注+20 魔穿+2
90503	9	死神萝莉	5		3		22		47	23																体质+22 智力+47 专注+23
90504	9	死神萝莉	5		4	17		28																		力量+17 敏捷+28
90505	9	死神萝莉	5		5					25				32.4	16.2											专注+25 物攻+32.4 物防+16.2
90506	9	死神萝莉	5		6		23	31	52																	体质+23 敏捷+31 智力+52
90500	9	死神萝莉	5			32	45	85	99	68	0	0	0	32.4	16.2	77.4	38.7	0	0	0	0	0	0			
90601	9	死神萝莉	6		1		23	31		26																体质+23 敏捷+31 专注+26
90602	9	死神萝莉	6		2	18										95.4	47.7									力量+18 魔攻+95.4 魔防+47.7
90603	9	死神萝莉	6		3		24		56	27																体质+24 智力+56 专注+27
90604	9	死神萝莉	6		4	19		34																		力量+19 敏捷+34
90605	9	死神萝莉	6		5	20	25			29																力量+20 体质+25 专注+29
90606	9	死神萝莉	6		6				61										66.6		112.48					智力+61 闪避+66.6 暴抗+112.48
90600	9	死神萝莉	6			57	72	65	117	82	0	0	0	0	0	95.4	47.7	0	66.6	0	112.48	0	0			
90701	9	死神萝莉	7		1		25	38		30																体质+25 敏捷+38 专注+30
90702	9	死神萝莉	7		2				62					37.8	18.9											智力+62 物攻+37.8 物防+18.9
90703	9	死神萝莉	7		3			39	66	31																敏捷+39 智力+66 专注+31
90704	9	死神萝莉	7		4	23	26																	2		力量+23 体质+26 魔穿+2
90705	9	死神萝莉	7		5		32									127.8	63.9									体质+32 魔攻+127.8 魔防+63.9
90706	9	死神萝莉	7		6	24		44		34																力量+24 敏捷+44 专注+34
90700	9	死神萝莉	7			47	83	121	128	95	0	0	0	37.8	18.9	127.8	63.9	0	0	0	0	0	0			
90801	9	死神萝莉	8		1					39	612	61.2														专注+39 生命+612 生命回复+61.2
90802	9	死神萝莉	8		2	26		51	86																	力量+26 敏捷+51 智力+86
90803	9	死神萝莉	8		3		36		94																	体质+36 智力+94
90804	9	死神萝莉	8		4	30													100.8		170.24					力量+30 闪避+100.8 暴抗+170.24
90805	9	死神萝莉	8		5	35	43			45																力量+35 体质+43 专注+45
90806	9	死神萝莉	8		6			65	104	52																敏捷+65 智力+104 专注+52
90800	9	死神萝莉	8			91	79	116	284	136	612	61.2	0	0	0	0	0	0	100.8	0	170.24	0	0			
90901	9	死神萝莉	9		1		44	66		53																体质+44 敏捷+66 专注+53
90902	9	死神萝莉	9		2	35	45		109																	力量+35 体质+45 智力+109
90903	9	死神萝莉	9		3					54						203.4	101.7									专注+54 魔攻+203.4 魔防+101.7
90904	9	死神萝莉	9		4	36	47	69																		力量+36 体质+47 敏捷+69
90905	9	死神萝莉	9		5				119	57														2		智力+119 专注+57 魔穿+2
90906	9	死神萝莉	9		6	38													127.8		215.84					力量+38 闪避+127.8 暴抗+215.84
90900	9	死神萝莉	9			109	136	135	228	164	0	0	0	0	0	203.4	101.7	0	127.8	0	215.84	0	0			
91001	9	死神萝莉	10		1		49		124																	体质+49 智力+124
91002	9	死神萝莉	10		2	41		74		60																力量+41 敏捷+74 专注+60
91003	9	死神萝莉	10		3				132	63	954	95.4														智力+132 专注+63 生命+954 生命回复+95.4
91004	9	死神萝莉	10		4			82	146																	敏捷+82 智力+146
91005	9	死神萝莉	10		5	42		86		68																力量+42 敏捷+86 专注+68
91006	9	死神萝莉	10		6		57							79.2	39.6											体质+57 物攻+79.2 物防+39.6
91000	9	死神萝莉	10			83	106	242	402	191	954	95.4	0	79.2	39.6	0	0	0	0	0	0	0	0			
91101	9	死神萝莉	11		1				149										160.2		270.56					智力+149 闪避+160.2 暴抗+270.56
91102	9	死神萝莉	11		2		59			69														2		体质+59 专注+69 魔穿+2
91103	9	死神萝莉	11		3	45			152																	力量+45 智力+152
91104	9	死神萝莉	11		4			91		72	1116	111.6														敏捷+91 专注+72 生命+1116 生命回复+111.6
91105	9	死神萝莉	11		5	48	67		166																	力量+48 体质+67 智力+166
91106	9	死神萝莉	11		6	52		93										277.2		234.08						力量+52 敏捷+93 命中+277.2 暴击+234.08
91100	9	死神萝莉	11			145	126	184	467	141	1116	111.6	0	0	0	0	0	277.2	160.2	234.08	270.56	0	0			
91201	9	死神萝莉	12		1		69									315	157.5									体质+69 魔攻+315 魔防+157.5
91202	9	死神萝莉	12		2	57													194.4		328.32					力量+57 闪避+194.4 暴抗+328.32
91203	9	死神萝莉	12		3		75		194	83																体质+75 智力+194 专注+83
91204	9	死神萝莉	12		4			113						108	54											敏捷+113 物攻+108 物防+54
91205	9	死神萝莉	12		5	66	86			91																力量+66 体质+86 专注+91
91206	9	死神萝莉	12		6			120	205									378		319.2						敏捷+120 智力+205 命中+378 暴击+319.2
91200	9	死神萝莉	12			123	230	233	399	174	0	0	0	108	54	315	157.5	378	194.4	319.2	328.32	0	0			
100101	10	草薙京	1		1	3		3	3																	力量+3 敏捷+3 智力+3
100102	10	草薙京	1		2					4						9	4.5									专注+4 魔攻+9 魔防+4.5
100103	10	草薙京	1		3	4	6																	1		力量+4 体质+6 魔穿+1
100104	10	草薙京	1		4				7									18		15.2						智力+7 命中+18 暴击+15.2
100105	10	草薙京	1		5	5	7	3																		力量+5 体质+7 敏捷+3
100106	10	草薙京	1		6	6		5		8																力量+6 敏捷+5 专注+8
100100	10	草薙京	1			18	13	11	10	12	0	0	0	0	0	9	4.5	18	0	15.2	0	0	0			
100201	10	草薙京	2		1		8		8	10																体质+8 智力+8 专注+10
100202	10	草薙京	2		2	12										18	9									力量+12 魔攻+18 魔防+9
100203	10	草薙京	2		3		9	6		11																体质+9 敏捷+6 专注+11
100204	10	草薙京	2		4	14				13													2			力量+14 专注+13 物穿+2
100205	10	草薙京	2		5				13										12.6		21.28					智力+13 闪避+12.6 暴抗+21.28
100206	10	草薙京	2		6	17		9			180	18														力量+17 敏捷+9 生命+180 生命回复+18
100200	10	草薙京	2			43	17	15	21	34	180	18	0	0	0	18	9	0	12.6	0	21.28	0	2			
100301	10	草薙京	3		1	19			14	14																力量+19 智力+14 专注+14
100302	10	草薙京	3		2		11	10																		体质+11 敏捷+10
100303	10	草薙京	3		3	21				17	252	25.2														力量+21 专注+17 生命+252 生命回复+25.2
100304	10	草薙京	3		4			11	15															2		敏捷+11 智力+15 魔穿+2
100305	10	草薙京	3		5	24				20									23.4		39.52					力量+24 专注+20 闪避+23.4 暴抗+39.52
100306	10	草薙京	3		6		16									32.4	16.2									体质+16 魔攻+32.4 魔防+16.2
100300	10	草薙京	3			64	27	21	29	51	252	25.2	0	0	0	32.4	16.2	0	23.4	0	39.52	0	0			
100401	10	草薙京	4		1			14	19	21																敏捷+14 智力+19 专注+21
100402	10	草薙京	4		2				21					45	22.5								3			智力+21 物攻+45 物防+22.5 物穿+3
100403	10	草薙京	4		3	28	17	15																		力量+28 体质+17 敏捷+15
100404	10	草薙京	4		4				23									79.2		66.88						智力+23 命中+79.2 暴击+66.88
100405	10	草薙京	4		5		18												28.8		48.64					体质+18 闪避+28.8 暴抗+48.64
100406	10	草薙京	4		6	33				25	342	34.2														力量+33 专注+25 生命+342 生命回复+34.2
100400	10	草薙京	4			61	35	29	63	46	342	34.2	0	45	22.5	0	0	79.2	28.8	66.88	48.64	0	3			
100501	10	草薙京	5		1		21		25															3		体质+21 智力+25 魔穿+3
100502	10	草薙京	5		2				26		414	41.4														智力+26 生命+414 生命回复+41.4
100503	10	草薙京	5		3	34		17		26																力量+34 敏捷+17 专注+26
100504	10	草薙京	5		4	36		19	28																	力量+36 敏捷+19 智力+28
100505	10	草薙京	5		5		24	20		28																体质+24 敏捷+20 专注+28
100506	10	草薙京	5		6	38												111.6		94.24						力量+38 命中+111.6 暴击+94.24
100500	10	草薙京	5			108	45	56	79	54	414	41.4	0	0	0	0	0	111.6	0	94.24	0	0	0			
100601	10	草薙京	6		1	41			29																	力量+41 智力+29
100602	10	草薙京	6		2				31	31	450	45														智力+31 专注+31 生命+450 生命回复+45
100603	10	草薙京	6		3			21	35														4			敏捷+21 智力+35 物穿+4
100604	10	草薙京	6		4		27	22		34																体质+27 敏捷+22 专注+34
100605	10	草薙京	6		5	43													45		76					力量+43 闪避+45 暴抗+76
100606	10	草薙京	6		6	45	30			37																力量+45 体质+30 专注+37
100600	10	草薙京	6			129	57	43	95	102	450	45	0	0	0	0	0	0	45	0	76	0	4			
100701	10	草薙京	7		1			25										136.8		115.52						敏捷+25 命中+136.8 暴击+115.52
100702	10	草薙京	7		2		30		36															4		体质+30 智力+36 魔穿+4
100703	10	草薙京	7		3	48			37	39																力量+48 智力+37 专注+39
100704	10	草薙京	7		4		31	26		42																体质+31 敏捷+26 专注+42
100705	10	草薙京	7		5	50					612	61.2														力量+50 生命+612 生命回复+61.2
100706	10	草薙京	7		6	53		28	38																	力量+53 敏捷+28 智力+38
100700	10	草薙京	7			151	61	79	111	81	612	61.2	0	0	0	0	0	136.8	0	115.52	0	0	0			
100801	10	草薙京	8		1		40	31		51																体质+40 敏捷+31 专注+51
100802	10	草薙京	8		2	58			47	56																力量+58 智力+47 专注+56
100803	10	草薙京	8		3			37	53														5			敏捷+37 智力+53 物穿+5
